scale_type	scale_value	text
1	1	I do not know what those are
1	2	I have heard of them but have never used them before
1	3	"I have installed it, but have only done simple examples with them"
1	4	I have written a small program with them before
1	5	I use it to automate certain repetitive tasks
1	6	I have small side projects that I program in it
1	7	I program in them for work
2	1	I have never heard of the term
2	2	I have heard of it but don't remember what it is
2	3	"I have some idea of what it is, but am not too clear"
2	4	I know what it is and could explain what it pertains to
3	1	I wouldn't know where to start
3	2	"I could struggle through, but not confident I could do it"
3	3	I could struggle through by trial and error with a lot of web searches
3	4	I could do it quickly with little or no use of external help
4	1	Strongly Disagree
4	2	Disagree
4	3	Somewhat Disagree
4	4	Neither Agree nor Disagree
4	5	Somewhat Agree
4	6	Agree
4	7	Strongly Agree
