date,workshop_num,language,num_virtual,num_inperson,sign_in_responses,notes
2020-10-20,1,r,20,,27,
2020-10-21,1,r,11,,NULL,
2020-12-09,2,r,5,,NA,
2021-02-02,3,r,19,,45,
2021-02-03,3,r,16,,45,
2021-05-17,4,r,18,,NULL,
2021-05-18,4,r,15,,NULL,
2021-06-29,5,r,10,18,43,
2021-06-30,5,r,11,10,43,
2021-09-20,6,r,14,1,NULL,
2021-09-21,6,r,4,1,NULL,
2021-09-22,7,py,9,2,NULL,
2021-09-23,7,py,4,0,NULL,
2021-09-27,8,r,8,0,NULL,
2021-09-28,8,r,4,0,54,
2021-11-18,9,r,25,,43,assessment experiment
2021-11-23,10,r,,,,assessment experiment
